,XIV,,,,SVXY,ZIV,SVXY + ZIV
2016-12-05,797596.265243999,6.813,XIV - 1.00,,790233.169431,310940.893558,449982.153498999
2016-12-06,821074.755244,2.944,XIV - 1.00,,815372.464431,315723.1402,460479.960962499
2016-12-07,819133.585243999,-0.236,XIV - 1.00,,813390.704431,316055.1902,460182.240962499
2016-12-08,814721.585244,-0.539,XIV - 1.00,,811048.606415,313797.243559,457850.091038499
2016-12-09,826722.905243999,1.473,XIV - 1.00,,819876.954432,315856.276843,461820.105925999
2016-12-12,817899.905244,-1.067,XIV - 1.00,,813481.647447,315192.163561,459562.390963999
2016-12-13,810134.785243999,-0.949,XIV - 1.00,,806545.451415,313399.08692,456311.938576499
2016-12-14,814017.785243999,0.479,XIV - 1.00,,807986.909433,313332.680204,456659.328463999
2016-12-15,824960.165243999,1.344,XIV - 1.00,,819607.89245,315192.433562,461249.640963999
2016-12-16,837136.595243999,1.476,XIV - 1.00,,829336.010465,313731.40028,462837.476001999
2016-12-19,865014.115243999,3.33,XIV - 1.00,,858877.312452001,319709.213564,475440.960963999
2016-12-20,882299.355243999,1.998,XIV - 1.00,,875352.748434,320306.903564,480426.248582499
2016-12-21,896583.705243999,1.619,XIV - 1.00,,889125.115446,321634.910204,485212.673382499
2016-12-22,880714.905243999,-1.77,XIV - 1.00,,873465.061446,317451.703564,477773.403544499
2016-12-23,883360.155243999,0.3,XIV - 1.00,,878145.877452,318115.790282,479559.183544499
2016-12-27,898173.555243999,1.677,XIV - 1.00,,889307.09945,320108.110205,484122.393464499
2016-12-28,864320.115243999,-3.769,XIV - 1.00,,858887.117450001,316721.696925,473211.488504999
2016-12-29,851267.255243999,-1.51,XIV - 1.00,,845111.780457001,315526.316925,468523.348465999
2016-12-30,833273.435243999,-2.114,XIV - 0.65,,827732.130457001,312272.240207,461304.375888999
2017-01-03,873873.695243999,4.872,XIV - 0.65,,865610.698621,318963.58589,476738.377261499
2017-01-04,902608.865243999,3.288,XIV - 1.00,,894645.450052001,323957.137354,488493.509092999
2017-01-05,904806.385244,0.243,XIV - 1.00,,897496.007328001,323241.063394,488758.110645499
2017-01-06,916301.105243999,1.27,XIV - 1.00,,909502.827328,326561.150374,494554.753524499
2017-01-09,917653.265243999,0.148,XIV - 1.00,,911316.597328,328123.563394,496214.213144499
2017-01-10,924751.685244,0.774,XIV - 1.00,,917275.799601,329034.816885,498547.063144499
2017-01-11,944524.685244,2.138,XIV - 1.00,,937052.239601,331247.876885,505689.170644499
2017-01-12,945031.565243999,0.054,XIV - 1.00,,937483.905065001,328644.270376,503885.781217499
2017-01-13,943510.925244,-0.161,XIV - 1.00,,934980.027797,325650.130376,500976.331408499
2017-01-17,945707.535243999,0.233,XIV - 1.00,,937570.412335,323632.023866,500206.816217999
2017-01-18,948072.975243999,0.25,XIV - 1.00,,941887.412335,326887.023866,503813.941217999
2017-01-19,940469.775243999,-0.802,XIV - 1.00,,931268.172801,327603.130376,501385.391408999
2017-01-20,976798.325243999,3.863,XIV - 1.00,,967360.382801,333916.866885,516102.466218499
2017-01-23,984737.095243999,0.813,XIV - 1.00,,975128.750064,334112.100377,518410.306218499
2017-01-24,1030844.065244,4.682,XIV - 1.00,,1019923.657326,345566.193393,539346.983140999
2017-01-25,1055660.605244,2.407,XIV - 1.00,,1044941.97458,350901.113393,550256.607946999
2017-01-26,1048909.405244,-0.64,XIV - 1.00,,1039594.45733,349339.900383,547613.843531999
2017-01-27,1062581.395244,1.303,XIV - 1.00,,1051842.650079,347973.856888,550016.343531999
2017-01-30,1029840.015244,-3.081,XIV - 1.00,,1022260.615079,346022.063394,540334.273336999
2017-01-31,1035917.535244,0.59,XIV - 1.00,,1026919.195079,347843.730382,542977.288725999
2017-02-01,1055837.115244,1.923,XIV - 1.00,,1044689.836838,352983.476888,551723.317947999
2017-02-02,1044528.855244,-1.071,XIV - 1.00,,1036237.302338,350771.776888,547735.573338999
2017-02-03,1068667.255244,2.311,XIV - 0.55,,1057197.267338,353438.826888,555543.698338999
2017-02-06,1067367.775244,-0.122,XIV - 1.00,,1057813.847852,353188.436888,555530.483196499
2017-02-07,1059765.925244,-0.712,XIV - 1.00,,1049539.127852,352602.716888,552791.918196499
2017-02-08,1063989.425244,0.399,XIV - 0.55,,1052556.302852,350194.737364,551855.026282999
2017-02-09,1077089.735244,1.231,XIV - 0.55,,1064598.442852,351769.948104,556373.709210499
2017-02-10,1085183.975244,0.751,XIV - 1.00,,1073897.531638,351983.897406,559129.431585999
2017-02-13,1119421.175244,3.155,XIV - 1.00,,1107555.14077,355937.313887,571463.457079999
2017-02-14,1171093.825244,4.616,XIV - 1.00,,1154763.726623,365982.857406,592061.219082999
2017-02-15,1127085.275244,-3.758,XIV - 1.00,,1112742.555791,372785.826843,585268.719082999
2017-02-16,1118612.135244,-0.752,XIV - 0.55,,1106979.623591,370324.180365,581848.373334499
2017-02-17,1117606.955244,-0.09,XIV - 0.55,,1105814.248591,370537.967491,581678.533560499
2017-02-21,1111388.355244,-0.556,XIV - 0.55,,1098489.413591,368721.846808,578294.043219999
2017-02-22,1110102.035244,-0.116,XIV - 0.55,,1095955.994208,367076.890384,576376.698219999
2017-02-23,1093271.525244,-1.516,GLD - 1.00,,1080254.635404,362841.870384,568871.217952999
2017-02-24,1100186.719749,0.633,GLD - 1.00,,1087087.750449,365137.055284,572469.794277999
2017-02-27,1094909.354343,-0.48,GLD - 1.00,,1081873.604389,363386.053398,569724.102681999
2017-02-28,1095910.244343,0.091,GLD - 1.00,,1082862.614389,363718.253398,570244.842681999
2017-03-01,1094363.368848,-0.141,GLD - 1.00,,1081334.099434,363204.838298,569440.039011999
2017-03-02,1080896.885244,-1.231,GLD - 1.00,,1068027.455398,358735.250378,562433.737947999
2017-03-03,1080259.885244,-0.059,None - 0.00,,1067398.015398,358523.850378,562102.287947999
2017-03-06,1080259.885244,0,XIV - 0.55,,1067398.015398,358523.850378,562102.287947999
2017-03-07,1080346.765244,0.008,XIV - 0.55,,1066910.731286,357967.533855,561561.800573999
2017-03-08,1076003.265244,-0.402,XIV - 0.55,,1062655.97583,358071.956893,560429.585477999
2017-03-09,1078967.045244,0.275,GLD - 1.00,,1065635.456936,358733.167333,561752.853018999
