Date,Equity,dayProfit%,dayProfit%,,
2009-11-10,641522.01272,-0.704,XIV - 1.00 - false,,
2009-11-11,640006.25272,-0.236,XIV - 1.00 - false,,
2009-11-12,611206.05272,-4.5,XIV - 1.00 - false,,
2009-11-13,621821.69272,1.737,XIV - 1.00 - false,,
2009-11-16,632435.51272,1.707,XIV - 1.00 - false,,
2009-11-17,635467.51272,0.479,XIV - 1.00 - false,,
2009-11-18,658206.46272,3.578,XIV - 1.00 - false,,
2009-11-19,650629.46272,-1.151,XIV - 1.00 - false,,
2009-11-20,662754.10272,1.864,XIV - 1.00 - false,,
2009-11-23,696090.70272,5.03,XIV - 1.00 - false,,
2009-11-24,702148.98272,0.87,XIV - 1.00 - false,,
2009-11-25,711235.56272,1.294,XIV - 1.00 - false,,
2009-11-27,662779.88272,-6.813,XIV - 1.00 - false,,
2009-11-30,662779.88272,0,XIV - 1.00 - false,,
2009-12-01,687025.64272,3.658,XIV - 0.55 - false,,
2009-12-02,691191.39272,0.606,XIV - 1.00 - false,,
2009-12-03,676119.19272,-2.181,XIV - 1.00 - false,,
2009-12-04,691194.79272,2.23,XIV - 1.00 - false,,
2009-12-07,694209.25272,0.436,XIV - 1.00 - false,,
2009-12-08,676123.33272,-2.605,XIV - 1.00 - false,,
2009-12-09,680646.04272,0.669,XIV - 0.55 - false,,
2009-12-10,686449.74272,0.853,XIV - 1.00 - false,,
2009-12-11,690940.38272,0.654,XIV - 1.00 - false,,
2009-12-14,704411.40272,1.95,XIV - 1.00 - false,,
2009-12-15,711893.85272,1.062,XIV - 1.00 - false,,
2009-12-16,743316.782719999,4.414,XIV - 1.00 - false,,
2009-12-17,732846.952719999,-1.409,XIV - 1.00 - false,,
2009-12-18,743318.322719999,1.429,XIV - 0.55 - false,,
2009-12-21,757303.032719999,1.881,XIV - 0.55 - false,,
2009-12-22,767834.592719999,1.391,XIV - 1.00 - false,,
2009-12-23,773659.512719999,0.759,XIV - 1.00 - false,,
2009-12-24,783852.352719999,1.317,XIV - 1.00 - false,,
2009-12-28,791132.002719999,0.929,XIV - 1.00 - false,,
2009-12-29,786764.602719999,-0.552,XIV - 1.00 - false,,
2009-12-30,773661.682719999,-1.665,XIV - 1.00 - false,,
2009-12-31,753275.862719999,-2.635,XIV - 1.00 - false,,
2010-01-04,780949.742719999,3.674,XIV - 0.55 - false,,
2010-01-05,788957.742719999,1.025,XIV - 1.00 - false,,
2010-01-06,817832.542719999,3.66,XIV - 1.00 - false,,
2010-01-07,830821.612719999,1.588,XIV - 1.00 - false,,
2010-01-08,852466.612719999,2.605,XIV - 1.00 - false,,
2010-01-11,865450.282719999,1.523,XIV - 1.00 - false,,
2010-01-12,842371.722719999,-2.667,XIV - 1.00 - false,,
2010-01-13,856799.822719999,1.713,XIV - 0.55 - false,,
2010-01-14,867114.152719999,1.204,XIV - 0.55 - false,,
2010-01-15,855330.302719999,-1.359,XIV - 1.00 - false,,
2010-01-19,894345.572719999,4.561,XIV - 0.55 - false,,
2010-01-20,897523.172719999,0.355,XIV - 0.55 - false,,
2010-01-21,869009.012719999,-3.177,XIV - 0.20 - false,,
2010-01-22,853905.362719999,-1.738,None - 0.00 - false,,
2010-01-25,853905.362719999,0,None - 0.00 - true,,
2010-01-26,854540.842999999,0.074,None - 0.00 - true,,
2010-01-27,846358.530943999,-0.958,None - 0.00 - true,,
2010-01-28,845961.362719999,-0.047,None - 0.00 - true,,
2010-01-29,841830.450943999,-0.488,None - 0.00 - true,,
2010-02-01,860816.602999999,2.255,None - 0.00 - true,,
2010-02-02,867012.915055999,0.72,None - 0.00 - true,,
2010-02-03,863596.995055999,-0.394,None - 0.00 - true,,
2010-02-04,829199.522719999,-3.983,None - 0.00 - true,,
