Date,Equity,dayProfit%,,,,
2011-05-19,2524766.757866,1.676,XIV - 1.00 - false,,,
2011-05-20,2497848.970466,-1.066,XIV - 1.00 - false,,,
2011-05-23,2413325.382866,-3.384,XIV - 1.00 - false,,,
2011-05-24,2421469.046866,0.337,XIV - 0.45 - false,,,
2011-05-25,2452806.822866,1.294,XIV - 1.00 - false,,,
2011-05-26,2503113.442866,2.051,XIV - 1.00 - false,,,
2011-05-27,2550784.507866,1.904,XIV - 1.00 - false,,,
2011-05-31,2624833.443866,2.903,XIV - 1.00 - false,,,
2011-06-01,2449569.315866,-6.677,XIV - 1.00 - false,,,
2011-06-02,2481496.287866,1.303,None - 0.00 - true,,,
2011-06-03,2495744.465432,0.574,None - 0.00 - true,,,
2011-06-06,2476832.266364,-0.758,None - 0.00 - true,,,
2011-06-07,2488231.692836,0.46,None - 0.00 - true,,,
2011-06-08,2507662.628332,0.781,None - 0.00 - true,,,
2011-06-09,2497556.941321,-0.403,None - 0.00 - true,,,
2011-06-10,2516729.675545,0.768,None - 0.00 - false,,,
2011-06-13,2516729.675545,0,XIV - 1.00 - false,,,
2011-06-14,2590870.820545,2.946,None - 0.00 - true,,,
2011-06-15,2637956.104916,1.817,None - 0.00 - true,,,
2011-06-16,2649932.130119,0.454,None - 0.00 - true,,,
2011-06-17,2637411.66828,-0.472,None - 0.00 - true,,,
2011-06-20,2640677.836442,0.124,None - 0.00 - true,,,
2011-06-21,2628974.255384,-0.443,None - 0.00 - true,,,
2011-06-22,2630607.339465,0.062,None - 0.00 - true,,,
2011-06-23,2650747.817243,0.766,None - 0.00 - true,,,
2011-06-24,2639588.705082,-0.421,None - 0.00 - true,,,
2011-06-27,2603390.572642,-1.371,None - 0.00 - true,,,
2011-06-28,2582433.181822,-0.805,None - 0.00 - true,,,
2011-06-29,2565286.3958,-0.664,None - 0.00 - false,,,
2011-06-30,2565286.3958,0,XIV - 1.00 - false,,,
2011-07-01,2663872.0258,3.843,None - 0.00 - false,,,
2011-07-05,2663872.0258,0,XIV - 1.00 - false,,,
2011-07-06,2626217.2858,-1.414,XIV - 1.00 - false,,,
2011-07-07,2700142.7458,2.815,XIV - 0.55 - false,,,
2011-07-08,2678668.4258,-0.795,XIV - 1.00 - false,,,
2011-07-11,2461071.6758,-8.123,XIV - 1.00 - false,,,
2011-07-12,2397841.7258,-2.569,None - 0.00 - true,,,
2011-07-13,2404506.817548,0.278,None - 0.00 - true,,,
2011-07-14,2370193.08779,-1.427,None - 0.00 - true,,,
2011-07-15,2374142.93488,0.167,None - 0.00 - true,,,
2011-07-18,2351183.925576,-0.967,None - 0.00 - true,,,
2011-07-19,2400063.28696,2.079,None - 0.00 - true,,,
2011-07-20,2371673.992474,-1.183,None - 0.00 - true,,,
2011-07-21,2353405.895004,-0.77,None - 0.00 - false,,,
2011-07-22,2353405.895004,0,XIV - 1.00 - false,,,
2011-07-25,2260006.775004,-3.969,XIV - 1.00 - false,,,
2011-07-26,2212647.515004,-2.096,None - 0.00 - true,,,
2011-07-27,2212879.54007,0.01,None - 0.00 - true,,,
2011-07-28,2221206.892636,0.376,None - 0.00 - true,,,
2011-07-29,2265158.194992,1.979,None - 0.00 - true,,,
2011-08-01,2288018.962636,1.009,None - 0.00 - true,,,
2011-08-02,2356719.040628,3.003,None - 0.00 - true,,,
2011-08-03,2361360.853596,0.197,None - 0.00 - true,,,
2011-08-04,2445379.25869,3.558,None - 0.00 - false,,,
2011-08-05,2445379.25869,0,VXX - 1.00 - false,,,
2011-08-08,2802407.09869,14.6,VXX - 1.00 - false,,,
2011-08-09,2522158.77869,-10,VXX - 1.00 - false,,,
2011-08-10,2834458.29869,12.382,VXX - 1.00 - false,,,
2011-08-11,2723792.05869,-3.904,VXX - 1.00 - false,,,
2011-08-12,2751657.65869,1.023,VXX - 1.00 - false,,,
2011-08-15,2596406.45869,-5.642,VXX - 1.00 - false,,,
2011-08-16,2651438.26669,2.12,VXX - 1.00 - false,,,
2011-08-17,2704064.44269,1.985,VXX - 1.00 - false,,,
2011-08-18,3256599.48269,20.434,VXX - 1.00 - false,,,
2011-08-19,3422200.76269,5.085,VXX - 1.00 - false,,,
2011-08-22,3526577.33869,3.05,VXX - 1.00 - false,,,
2011-08-23,3360794.29869,-4.701,VXX - 1.00 - false,,,
2011-08-24,3291369.14669,-2.066,VXX - 1.00 - false,,,
2011-08-25,3357291.19469,2.003,VXX - 1.00 - false,,,
2011-08-26,3304903.86669,-1.56,VXX - 1.00 - false,,,
2011-08-29,3100290.74669,-6.191,VXX - 1.00 - false,,,
2011-08-30,3132137.14669,1.027,VXX - 1.00 - false,,,
2011-08-31,3136914.10669,0.153,VXX - 1.00 - false,,,
2011-09-01,3179110.58669,1.345,VXX - 1.00 - false,,,
2011-09-02,3337546.42669,4.984,VXX - 1.00 - false,,,
2011-09-06,3436270.26669,2.958,VXX - 1.00 - false,,,
2011-09-07,3314457.78669,-3.545,VXX - 1.00 - false,,,
2011-09-08,3367800.50669,1.609,VXX - 1.00 - false,,,
2011-09-09,3683876.02669,9.385,VXX - 1.00 - false,,,
2011-09-12,3717207.22669,0.905,VXX - 1.00 - false,,,
2011-09-13,3685463.22669,-0.854,VXX - 1.00 - false,,,
2011-09-14,3586263.22669,-2.692,VXX - 1.00 - false,,,
2011-09-15,3410084.02669,-4.913,VXX - 1.00 - false,,,
2011-09-16,3344002.74669,-1.938,None - 0.00 - true,,,
2011-09-19,3407760.129946,1.907,None - 0.00 - false,,,
2011-09-20,3407760.129946,0,VXX - 1.00 - false,,,
2011-09-21,3590879.489946,5.374,VXX - 1.00 - false,,,
2011-09-22,3954760.449946,10.133,VXX - 1.00 - false,,,
2011-09-23,3993928.449946,0.99,VXX - 1.00 - false,,,
2011-09-26,3857623.809946,-3.413,VXX - 1.00 - false,,,
2011-09-27,3782421.249946,-1.949,VXX - 1.00 - false,,,
2011-09-28,4025270.529946,6.42,VXX - 1.00 - false,,,
2011-09-29,3957118.209946,-1.693,VXX - 1.00 - false,,,
2011-09-30,4232077.569946,6.948,VXX - 1.00 - false,,,
2011-10-03,4503903.489946,6.423,VXX - 1.00 - false,,,
2011-10-04,4190966.837146,-6.948,VXX - 1.00 - false,,,
2011-10-05,3988452.609946,-4.832,VXX - 1.00 - false,,,
2011-10-06,3919516.929946,-1.728,None - 0.00 - true,,,
2011-10-07,3890560.885021,-0.739,None - 0.00 - true,,,
2011-10-10,3835614.141471,-1.412,None - 0.00 - false,,,
2011-10-11,3835614.141471,0,XIV - 0.45 - false,,,
2011-10-12,3948430.971471,2.941,XIV - 0.45 - false,,,
2011-10-13,3953745.231471,0.135,XIV - 0.45 - false,,,
2011-10-14,4054547.831471,2.55,XIV - 0.45 - false,,,
2011-10-17,3861567.581471,-4.76,XIV - 0.45 - false,,,
2011-10-18,3919186.121471,1.492,XIV - 0.45 - false,,,
2011-10-19,3795241.881471,-3.162,XIV - 0.45 - false,,,
2011-10-20,3775581.681471,-0.518,XIV - 0.45 - false,,,
2011-10-21,3866043.121471,2.396,XIV - 0.45 - false,,,
2011-10-24,3973173.001471,2.771,XIV - 0.45 - false,,,
2011-10-25,3853575.151471,-3.01,XIV - 0.80 - false,,,
2011-10-26,3971527.951471,3.061,XIV - 0.45 - false,,,
2011-10-27,4204693.151471,5.871,XIV - 0.45 - false,,,
2011-10-28,4212391.181471,0.183,XIV - 1.00 - false,,,
2011-10-31,3774314.311471,-10.4,XIV - 1.00 - false,,,
2011-11-01,3238891.251471,-14.186,XIV - 0.45 - false,,,
2011-11-02,3279970.931471,1.268,XIV - 0.45 - false,,,
2011-11-03,3353284.961471,2.235,XIV - 0.45 - false,,,
2011-11-04,3318829.561471,-1.028,XIV - 0.45 - false,,,
2011-11-07,3333789.421471,0.451,XIV - 0.80 - false,,,
2011-11-08,3457211.741471,3.702,XIV - 0.45 - false,,,
2011-11-09,3167353.001471,-8.384,XIV - 1.00 - false,,,
2011-11-10,3352167.101471,5.835,XIV - 0.45 - false,,,
2011-11-11,3413121.621471,1.818,XIV - 0.45 - false,,,
2011-11-14,3375175.741471,-1.112,XIV - 1.00 - false,,,
2011-11-15,3411827.521471,1.086,XIV - 0.80 - false,,,
2011-11-16,3284781.901471,-3.724,XIV - 0.80 - false,,,
2011-11-17,3166305.421471,-3.607,XIV - 0.45 - false,,,
2011-11-18,3205566.321471,1.24,XIV - 0.45 - false,,,
2011-11-21,3188992.881471,-0.517,XIV - 0.80 - false,,,
2011-11-22,3238419.081471,1.55,XIV - 0.80 - false,,,
2011-11-23,3130115.501471,-3.344,XIV - 0.80 - false,,,
2011-11-25,3091066.785671,-1.248,XIV - 0.80 - false,,,
